protocol_id,codigo_ine,municipio,provincia,comunidad,tipo,descripcion,nivel_confianza,lon_publica,lat_publica,creado_en
ES-MU-03082-INC-2026-001,03082,Xàbia/Jávea,Alacant,Comunitat Valenciana,bloqueo_acceso,Colocación de barrera móvil que se cierra de 21:00 a 08:00 únicamente en temporada alta.,3,0.163633139085323,38.7679761124698,2026-09-03T16:33:52.626295+00:00
ES-MU-15030-INC-2026-001,15030,"Coruña, A",A Coruña,Galicia,multa,Sanción recurrida al demostrarse que el vehículo cambió de plaza dentro del mismo tramo regulado.,3,-8.42164572355936,43.3467182585927,2026-09-03T16:33:52.626295+00:00
ES-MU-36051-INC-2026-001,36051,Sanxenxo,Pontevedra,Galicia,senal_ilegal,Prohibición expresa a vehículos clasificados como 3200 o 3148 en aparcamientos de superficie.,4,-8.82410457873833,42.4204093664118,2026-09-03T16:33:52.626295+00:00
ES-MU-36008-INC-2026-001,36008,Cangas,Pontevedra,Galicia,desalojo,Desalojo policial a autocaravanas correctamente estacionadas en batería sin invasión de servidumbre.,3,-8.81177164822708,42.2771955523207,2026-09-03T16:33:52.626295+00:00
ES-MU-17160-INC-2026-001,17160,Sant Feliu de Guíxols,Girona,Cataluña,senal_ilegal,Señal indicativa con silueta tachada carente de código oficial en el catálogo de señales del RGC.,3,3.01165275364639,41.7837419563674,2026-09-03T16:33:52.626295+00:00
ES-MU-03063-INC-2026-001,03063,Dénia,Alacant,Comunitat Valenciana,bloqueo_acceso,"Limitador a 2.05m sin señalización previa de advertencia, provocando daños en vehículos y maniobras peligrosas.",3,0.0802621668513739,38.8248697193251,2026-09-03T16:33:52.626295+00:00
ES-MU-18017-INC-2026-001,18017,Almuñécar,Granada,Andalucía,multa,Multa impuesta por Policía Local a camper aparcada dentro de las marcas viales de la calzada.,4,-3.72416103169328,36.7694558421993,2026-09-03T16:33:52.626295+00:00
ES-MU-43038-INC-2026-001,43038,Cambrils,Tarragona,Cataluña,multa,Retirada del vehículo sin constituir obstáculo grave ni estar en zona de carga y descarga.,3,1.04263096463682,41.0829713343375,2026-09-03T16:33:52.626295+00:00
ES-MU-23028-INC-2026-001,23028,Cazorla,Jaén,Andalucía,desalojo,La Policía Local desaloja vehículos en el casco urbano de Cazorla argumentando el Plan de Ordenación del Parque Natural.,4,-2.96423219405587,37.9124216007634,2026-09-03T16:33:52.626295+00:00
ES-MU-16078-INC-2026-001,16078,Cuenca,Cuenca,Castilla-La Mancha,senal_ilegal,Placas metálicas prohibiendo estacionar de 22:00 a 08:00 a autocaravanas en aparcamientos asfaltados con vistas a las hoces.,3,-1.9932839777543,40.2060237610975,2026-09-03T16:33:52.626295+00:00
ES-MU-29084-INC-2026-001,29084,Ronda,Málaga,Andalucía,senal_ilegal,Señalética municipal con prohibición específica para vehículos camper en aparcamiento del recinto ferial.,3,-5.12794060520816,36.7783621770249,2026-09-03T16:33:52.626295+00:00
ES-MU-07024-INC-2026-001,07024,Formentera,Illes Balears,Illes Balears,multa,Régimen especial insular sancionando la pernocta en cualquier espacio público o privado de la isla.,4,1.4595451882118,38.6925715832947,2026-09-03T16:33:52.626295+00:00
ES-MU-01051-INC-2026-001,01051,Agurain/Salvatierra,Araba,País Vasco,senal_ilegal,"[1/20] Señal de prohibido autocaravanas colocada en entrada de playa, sin número de expediente ni ordenanza. en Agurain/Salvatierra.",2,-2.38663585776971,42.8389360861267,2026-09-03T16:20:24.216006+00:00
